transaction_id,timestamp,customer_id,product_id,product_category,quantity,unit_price,region,payment_method,discount_applied,total_amount,date,year,month,day,hour,day_of_week,week_of_year,is_weekend,gross_revenue,discount_amount,net_revenue,has_discount,discount_tier,price_tier,calculated_total
TXN-000002,2023-01-01 01:00:00,CUST-0436,PROD-001,Home,7,226.53,North,Credit Card,5,1506.42,2023-01-01,2023,1,1,1,Sunday,52,True,1585.71,79.28550000000001,1506.4245,True,None,Luxury,1506.4244999999999
TXN-000003,2023-01-01 02:00:00,CUST-0861,PROD-012,Clothing,5,324.61,South,Credit Card,0,1623.05,2023-01-01,2023,1,1,2,Sunday,52,True,1623.0500000000002,0.0,1623.0500000000002,False,,Luxury,1623.0500000000002
TXN-000004,2023-01-01 03:00:00,CUST-0271,PROD-024,Home,6,255.41,East,Credit Card,0,1532.46,2023-01-01,2023,1,1,3,Sunday,52,True,1532.46,0.0,1532.46,False,,Luxury,1532.46
TXN-000005,2023-01-01 04:00:00,CUST-0107,PROD-034,Home,9,452.56,West,Mobile,20,3258.43,2023-01-01,2023,1,1,4,Sunday,52,True,4073.04,814.6080000000001,3258.432,True,Medium,Luxury,3258.4320000000002
TXN-000006,2023-01-01 05:00:00,CUST-0072,PROD-008,Food,1,470.53,South,Mobile,0,470.53,2023-01-01,2023,1,1,5,Sunday,52,True,470.53,0.0,470.53,False,,Luxury,470.53
TXN-000007,2023-01-01 06:00:00,CUST-0701,PROD-018,Food,9,90.13,East,Mobile,10,730.05,2023-01-01,2023,1,1,6,Sunday,52,True,811.17,81.117,730.053,True,Low,Standard,730.053
TXN-000008,2023-01-01 07:00:00,CUST-0021,PROD-048,Clothing,6,427.93,West,Cash,15,2182.44,2023-01-01,2023,1,1,7,Sunday,52,True,2567.58,385.137,2182.4429999999998,True,Medium,Luxury,2182.4429999999998
TXN-000009,2023-01-01 08:00:00,CUST-0615,PROD-005,Home,4,246.04,North,Debit Card,20,787.33,2023-01-01,2023,1,1,8,Sunday,52,True,984.16,196.832,787.328,True,Medium,Luxury,787.328
TXN-000010,2023-01-01 09:00:00,CUST-0122,PROD-026,Clothing,5,232.13,North,Cash,20,928.52,2023-01-01,2023,1,1,9,Sunday,52,True,1160.65,232.13000000000002,928.5200000000001,True,Medium,Luxury,928.5200000000001
TXN-000011,2023-01-01 10:00:00,CUST-0467,PROD-030,Food,1,394.62,South,Cash,0,394.62,2023-01-01,2023,1,1,10,Sunday,52,True,394.62,0.0,394.62,False,,Luxury,394.62
TXN-000012,2023-01-01 11:00:00,CUST-0215,PROD-013,Food,7,55.64,South,Cash,15,331.06,2023-01-01,2023,1,1,11,Sunday,52,True,389.48,58.422,331.058,True,Medium,Standard,331.058
TXN-000013,2023-01-01 12:00:00,CUST-0331,PROD-019,Food,8,442.42,South,Debit Card,15,3008.46,2023-01-01,2023,1,1,12,Sunday,52,True,3539.36,530.904,3008.456,True,Medium,Luxury,3008.456
TXN-000014,2023-01-01 13:00:00,CUST-0459,PROD-029,Clothing,5,338.72,South,Credit Card,20,1354.88,2023-01-01,2023,1,1,13,Sunday,52,True,1693.6000000000001,338.72,1354.88,True,Medium,Luxury,1354.88
TXN-000015,2023-01-01 14:00:00,CUST-0088,PROD-003,Home,2,438.88,South,Mobile,20,702.21,2023-01-01,2023,1,1,14,Sunday,52,True,877.76,175.55200000000002,702.208,True,Medium,Luxury,702.2080000000001
TXN-000016,2023-01-01 15:00:00,CUST-0373,PROD-026,Electronics,8,497.29,East,Cash,20,3182.66,2023-01-01,2023,1,1,15,Sunday,52,True,3978.32,795.6640000000001,3182.656,True,Medium,Luxury,3182.6560000000004
TXN-000017,2023-01-01 16:00:00,CUST-0100,PROD-040,Home,7,263.82,West,Mobile,10,1662.07,2023-01-01,2023,1,1,16,Sunday,52,True,1846.74,184.674,1662.066,True,Low,Luxury,1662.066
TXN-000018,2023-01-01 17:00:00,CUST-0872,PROD-012,Clothing,9,55.7,South,Mobile,0,501.3,2023-01-01,2023,1,1,17,Sunday,52,True,501.3,0.0,501.3,False,,Standard,501.3
TXN-000019,2023-01-01 18:00:00,CUST-0664,PROD-002,Food,4,91.6,West,Mobile,10,329.76,2023-01-01,2023,1,1,18,Sunday,52,True,366.4,36.64,329.76,True,Low,Standard,329.76
TXN-000020,2023-01-01 19:00:00,CUST-0131,PROD-011,Electronics,9,168.57,East,Credit Card,20,1213.7,2023-01-01,2023,1,1,19,Sunday,52,True,1517.1299999999999,303.426,1213.704,True,Medium,Premium,1213.704
TXN-000021,2023-01-01 20:00:00,CUST-0662,PROD-044,Clothing,4,60.74,East,Mobile,15,206.52,2023-01-01,2023,1,1,20,Sunday,52,True,242.96,36.444,206.51600000000002,True,Medium,Standard,206.516
TXN-000022,2023-01-01 21:00:00,CUST-0309,PROD-028,Food,3,409.52,East,Mobile,0,1228.56,2023-01-01,2023,1,1,21,Sunday,52,True,1228.56,0.0,1228.56,False,,Luxury,1228.56
TXN-000023,2023-01-01 22:00:00,CUST-0770,PROD-018,Clothing,3,155.47,South,Credit Card,0,466.41,2023-01-01,2023,1,1,22,Sunday,52,True,466.40999999999997,0.0,466.40999999999997,False,,Premium,466.40999999999997
TXN-000024,2023-01-01 23:00:00,CUST-0344,PROD-013,Electronics,2,488.18,North,Mobile,20,781.09,2023-01-01,2023,1,1,23,Sunday,52,True,976.36,195.27200000000002,781.088,True,Medium,Luxury,781.0880000000001
TXN-000025,2023-01-02 00:00:00,CUST-0492,PROD-037,Food,3,354.27,North,Debit Card,20,850.25,2023-01-02,2023,1,2,0,Monday,1,False,1062.81,212.562,850.2479999999999,True,Medium,Luxury,850.248
TXN-000026,2023-01-02 01:00:00,CUST-0414,PROD-022,Home,8,94.98,South,Debit Card,20,607.87,2023-01-02,2023,1,2,1,Monday,1,False,759.84,151.96800000000002,607.8720000000001,True,Medium,Standard,607.8720000000001
TXN-000027,2023-01-02 02:00:00,CUST-0806,PROD-012,Clothing,8,243.26,South,Cash,20,1556.86,2023-01-02,2023,1,2,2,Monday,1,False,1946.08,389.216,1556.864,True,Medium,Luxury,1556.864
TXN-000028,2023-01-02 03:00:00,CUST-0386,PROD-002,Electronics,2,238.77,South,Debit Card,20,382.03,2023-01-02,2023,1,2,3,Monday,1,False,477.54,95.50800000000001,382.03200000000004,True,Medium,Luxury,382.03200000000004
TXN-000029,2023-01-02 04:00:00,CUST-0192,PROD-037,Home,2,251.33,East,Debit Card,20,402.13,2023-01-02,2023,1,2,4,Monday,1,False,502.66,100.53200000000001,402.12800000000004,True,Medium,Luxury,402.12800000000004
TXN-000030,2023-01-02 05:00:00,CUST-0956,PROD-007,Electronics,2,272.49,North,Debit Card,0,544.98,2023-01-02,2023,1,2,5,Monday,1,False,544.98,0.0,544.98,False,,Luxury,544.98
TXN-000031,2023-01-02 06:00:00,CUST-0277,PROD-026,Clothing,7,25.27,North,Credit Card,10,159.2,2023-01-02,2023,1,2,6,Monday,1,False,176.89,17.689,159.201,True,Low,Budget,159.201
TXN-000032,2023-01-02 07:00:00,CUST-0161,PROD-026,Electronics,6,346.29,West,Debit Card,15,1766.08,2023-01-02,2023,1,2,7,Monday,1,False,2077.7400000000002,311.661,1766.0790000000002,True,Medium,Luxury,1766.0790000000002
TXN-000033,2023-01-02 08:00:00,CUST-0460,PROD-024,Food,1,248.72,West,Mobile,20,198.98,2023-01-02,2023,1,2,8,Monday,1,False,248.72,49.744,198.976,True,Medium,Luxury,198.976
TXN-000034,2023-01-02 09:00:00,CUST-0314,PROD-012,Electronics,2,397.57,North,Cash,15,675.87,2023-01-02,2023,1,2,9,Monday,1,False,795.14,119.27099999999999,675.869,True,Medium,Luxury,675.8689999999999
TXN-000035,2023-01-02 10:00:00,CUST-0022,PROD-016,Clothing,1,409.52,North,Mobile,0,409.52,2023-01-02,2023,1,2,10,Monday,1,False,409.52,0.0,409.52,False,,Luxury,409.52
TXN-000036,2023-01-02 11:00:00,CUST-0253,PROD-023,Food,7,122.96,East,Mobile,15,731.61,2023-01-02,2023,1,2,11,Monday,1,False,860.7199999999999,129.10799999999998,731.612,True,Medium,Premium,731.6119999999999
TXN-000037,2023-01-02 12:00:00,CUST-0748,PROD-040,Electronics,6,33.73,West,Debit Card,0,202.38,2023-01-02,2023,1,2,12,Monday,1,False,202.38,0.0,202.38,False,,Budget,202.38
TXN-000038,2023-01-02 13:00:00,CUST-0857,PROD-009,Electronics,2,354.58,South,Cash,5,673.7,2023-01-02,2023,1,2,13,Monday,1,False,709.16,35.458,673.702,True,None,Luxury,673.7019999999999
TXN-000039,2023-01-02 14:00:00,CUST-0561,PROD-032,Food,2,489.1,East,Mobile,10,880.38,2023-01-02,2023,1,2,14,Monday,1,False,978.2,97.82000000000001,880.38,True,Low,Luxury,880.3800000000001
TXN-000040,2023-01-02 15:00:00,CUST-0475,PROD-015,Home,2,228.86,West,Cash,5,434.83,2023-01-02,2023,1,2,15,Monday,1,False,457.72,22.886000000000003,434.834,True,None,Luxury,434.834
TXN-000041,2023-01-02 16:00:00,CUST-0059,PROD-037,Home,8,137.21,South,Debit Card,0,1097.68,2023-01-02,2023,1,2,16,Monday,1,False,1097.68,0.0,1097.68,False,,Premium,1097.68
TXN-000042,2023-01-02 17:00:00,CUST-0511,PROD-013,Food,7,86.77,South,Mobile,5,577.02,2023-01-02,2023,1,2,17,Monday,1,False,607.39,30.369500000000002,577.0205,True,None,Standard,577.0205
TXN-000043,2023-01-02 18:00:00,CUST-0682,PROD-005,Electronics,1,150.85,North,Credit Card,0,150.85,2023-01-02,2023,1,2,18,Monday,1,False,150.85,0.0,150.85,False,,Premium,150.85
TXN-000044,2023-01-02 19:00:00,CUST-0476,PROD-011,Home,4,170.68,North,Mobile,5,648.58,2023-01-02,2023,1,2,19,Monday,1,False,682.72,34.136,648.5840000000001,True,None,Premium,648.584
TXN-000045,2023-01-02 20:00:00,CUST-0000,PROD-010,Food,4,217.7,South,Mobile,0,870.8,2023-01-02,2023,1,2,20,Monday,1,False,870.8,0.0,870.8,False,,Luxury,870.8
TXN-000046,2023-01-02 21:00:00,CUST-0976,PROD-013,Clothing,7,331.15,South,Cash,10,2086.24,2023-01-02,2023,1,2,21,Monday,1,False,2318.0499999999997,231.80499999999998,2086.245,True,Low,Luxury,2086.245
TXN-000047,2023-01-02 22:00:00,CUST-0783,PROD-041,Electronics,2,143.85,North,Cash,10,258.93,2023-01-02,2023,1,2,22,Monday,1,False,287.7,28.77,258.93,True,Low,Premium,258.93
TXN-000048,2023-01-02 23:00:00,CUST-0190,PROD-046,Clothing,4,34.98,North,Cash,10,125.93,2023-01-02,2023,1,2,23,Monday,1,False,139.92,13.991999999999999,125.92799999999998,True,Low,Budget,125.928
TXN-000049,2023-01-03 00:00:00,CUST-0958,PROD-015,Electronics,1,192.91,North,Debit Card,0,192.91,2023-01-03,2023,1,3,0,Tuesday,1,False,192.91,0.0,192.91,False,,Premium,192.91
TXN-000050,2023-01-03 01:00:00,CUST-0687,PROD-042,Home,4,429.26,North,Cash,15,1459.48,2023-01-03,2023,1,3,1,Tuesday,1,False,1717.04,257.556,1459.484,True,Medium,Luxury,1459.484
TXN-000051,2023-01-03 02:00:00,CUST-0958,PROD-007,Clothing,1,254.19,West,Debit Card,5,241.48,2023-01-03,2023,1,3,2,Tuesday,1,False,254.19,12.7095,241.4805,True,None,Luxury,241.48049999999998
TXN-000052,2023-01-03 03:00:00,CUST-0563,PROD-040,Clothing,2,482.74,North,Cash,5,917.21,2023-01-03,2023,1,3,3,Tuesday,1,False,965.48,48.274,917.206,True,None,Luxury,917.206
TXN-000053,2023-01-03 04:00:00,CUST-0876,PROD-028,Food,2,256.77,East,Credit Card,5,487.86,2023-01-03,2023,1,3,4,Tuesday,1,False,513.54,25.677,487.86299999999994,True,None,Luxury,487.86299999999994
TXN-000054,2023-01-03 05:00:00,CUST-0567,PROD-032,Home,3,145.19,East,Cash,5,413.79,2023-01-03,2023,1,3,5,Tuesday,1,False,435.57,21.7785,413.7915,True,None,Premium,413.7915
TXN-000055,2023-01-03 06:00:00,CUST-0244,PROD-035,Home,8,104.72,East,Debit Card,10,753.98,2023-01-03,2023,1,3,6,Tuesday,1,False,837.76,83.77600000000001,753.9839999999999,True,Low,Premium,753.984
TXN-000056,2023-01-03 07:00:00,CUST-0832,PROD-015,Electronics,6,350.32,North,Debit Card,15,1786.63,2023-01-03,2023,1,3,7,Tuesday,1,False,2101.92,315.288,1786.632,True,Medium,Luxury,1786.632
TXN-000058,2023-01-03 09:00:00,CUST-0131,PROD-036,Food,9,305.96,South,Cash,15,2340.59,2023-01-03,2023,1,3,9,Tuesday,1,False,2753.64,413.046,2340.594,True,Medium,Luxury,2340.594
TXN-000059,2023-01-03 10:00:00,CUST-0485,PROD-021,Electronics,8,380.01,West,Debit Card,0,3040.08,2023-01-03,2023,1,3,10,Tuesday,1,False,3040.08,0.0,3040.08,False,,Luxury,3040.08
TXN-000060,2023-01-03 11:00:00,CUST-0819,PROD-006,Clothing,2,365.69,North,Mobile,0,731.38,2023-01-03,2023,1,3,11,Tuesday,1,False,731.38,0.0,731.38,False,,Luxury,731.38
TXN-000061,2023-01-03 12:00:00,CUST-0647,PROD-001,Electronics,6,31.25,East,Credit Card,5,178.12,2023-01-03,2023,1,3,12,Tuesday,1,False,187.5,9.375,178.125,True,None,Budget,178.125
TXN-000062,2023-01-03 13:00:00,CUST-0021,PROD-004,Electronics,1,403.26,South,Debit Card,20,322.61,2023-01-03,2023,1,3,13,Tuesday,1,False,403.26,80.652,322.608,True,Medium,Luxury,322.608
TXN-000063,2023-01-03 14:00:00,CUST-0841,PROD-011,Electronics,9,271.02,North,Cash,10,2195.26,2023-01-03,2023,1,3,14,Tuesday,1,False,2439.18,243.918,2195.2619999999997,True,Low,Luxury,2195.2619999999997
TXN-000064,2023-01-03 15:00:00,CUST-0167,PROD-044,Food,4,201.94,East,Credit Card,5,767.37,2023-01-03,2023,1,3,15,Tuesday,1,False,807.76,40.388000000000005,767.372,True,None,Luxury,767.372
TXN-000065,2023-01-03 16:00:00,CUST-0274,PROD-026,Electronics,4,273.38,East,Debit Card,10,984.17,2023-01-03,2023,1,3,16,Tuesday,1,False,1093.52,109.352,984.168,True,Low,Luxury,984.168
TXN-000066,2023-01-03 17:00:00,CUST-0388,PROD-037,Electronics,9,310.1,East,Cash,5,2651.36,2023-01-03,2023,1,3,17,Tuesday,1,False,2790.9,139.54500000000002,2651.355,True,None,Luxury,2651.355
TXN-000067,2023-01-03 18:00:00,CUST-0601,PROD-023,Electronics,3,83.26,East,Debit Card,10,224.8,2023-01-03,2023,1,3,18,Tuesday,1,False,249.78000000000003,24.978000000000005,224.80200000000002,True,Low,Standard,224.80200000000002
TXN-000068,2023-01-03 19:00:00,CUST-0316,PROD-029,Home,5,214.53,East,Cash,20,858.12,2023-01-03,2023,1,3,19,Tuesday,1,False,1072.65,214.53000000000003,858.1200000000001,True,Medium,Luxury,858.1200000000001
TXN-000069,2023-01-03 20:00:00,CUST-0014,PROD-021,Clothing,1,174.44,West,Mobile,20,139.55,2023-01-03,2023,1,3,20,Tuesday,1,False,174.44,34.888,139.552,True,Medium,Premium,139.552
TXN-000070,2023-01-03 21:00:00,CUST-0242,PROD-048,Clothing,6,181.7,East,Debit Card,0,1090.2,2023-01-03,2023,1,3,21,Tuesday,1,False,1090.1999999999998,0.0,1090.1999999999998,False,,Premium,1090.1999999999998
TXN-000071,2023-01-03 22:00:00,CUST-0777,PROD-045,Clothing,3,54.75,West,Debit Card,5,156.04,2023-01-03,2023,1,3,22,Tuesday,1,False,164.25,8.2125,156.0375,True,None,Standard,156.0375
TXN-000072,2023-01-03 23:00:00,CUST-0346,PROD-045,Clothing,1,88.32,East,Credit Card,20,70.66,2023-01-03,2023,1,3,23,Tuesday,1,False,88.32,17.663999999999998,70.65599999999999,True,Medium,Standard,70.65599999999999
TXN-000073,2023-01-04 00:00:00,CUST-0565,PROD-049,Food,6,89.3,East,Mobile,20,428.64,2023-01-04,2023,1,4,0,Wednesday,1,False,535.8,107.16,428.64,True,Medium,Standard,428.64
TXN-000074,2023-01-04 01:00:00,CUST-0898,PROD-027,Food,2,192.88,East,Credit Card,5,366.47,2023-01-04,2023,1,4,1,Wednesday,1,False,385.76,19.288,366.472,True,None,Premium,366.472
TXN-000075,2023-01-04 02:00:00,CUST-0340,PROD-039,Electronics,8,448.3,East,Debit Card,5,3407.08,2023-01-04,2023,1,4,2,Wednesday,1,False,3586.4,179.32000000000002,3407.08,True,None,Luxury,3407.08
TXN-000076,2023-01-04 03:00:00,CUST-0092,PROD-040,Food,2,110.95,West,Mobile,0,221.9,2023-01-04,2023,1,4,3,Wednesday,1,False,221.9,0.0,221.9,False,,Premium,221.9
TXN-000077,2023-01-04 04:00:00,CUST-0367,PROD-013,Clothing,4,213.93,North,Cash,20,684.58,2023-01-04,2023,1,4,4,Wednesday,1,False,855.72,171.144,684.576,True,Medium,Luxury,684.576
TXN-000078,2023-01-04 05:00:00,CUST-0956,PROD-023,Home,3,162.69,South,Mobile,10,439.26,2023-01-04,2023,1,4,5,Wednesday,1,False,488.07,48.807,439.263,True,Low,Premium,439.263
TXN-000079,2023-01-04 06:00:00,CUST-0455,PROD-016,Electronics,9,395.82,West,Mobile,5,3384.26,2023-01-04,2023,1,4,6,Wednesday,1,False,3562.38,178.11900000000003,3384.261,True,None,Luxury,3384.261
TXN-000080,2023-01-04 07:00:00,CUST-0428,PROD-030,Electronics,2,34.56,West,Cash,5,65.66,2023-01-04,2023,1,4,7,Wednesday,1,False,69.12,3.4560000000000004,65.664,True,None,Budget,65.664
TXN-000081,2023-01-04 08:00:00,CUST-0509,PROD-004,Clothing,3,106.31,West,Debit Card,5,302.98,2023-01-04,2023,1,4,8,Wednesday,1,False,318.93,15.9465,302.9835,True,None,Premium,302.9835
TXN-000082,2023-01-04 09:00:00,CUST-0776,PROD-040,Clothing,7,113.21,North,Debit Card,5,752.85,2023-01-04,2023,1,4,9,Wednesday,1,False,792.4699999999999,39.6235,752.8464999999999,True,None,Premium,752.8464999999999
TXN-000083,2023-01-04 10:00:00,CUST-0943,PROD-016,Clothing,4,496.55,South,Credit Card,20,1588.96,2023-01-04,2023,1,4,10,Wednesday,1,False,1986.2,397.24,1588.96,True,Medium,Luxury,1588.96
TXN-000084,2023-01-04 11:00:00,CUST-0035,PROD-031,Food,6,289.68,North,Debit Card,10,1564.27,2023-01-04,2023,1,4,11,Wednesday,1,False,1738.08,173.808,1564.272,True,Low,Luxury,1564.272
TXN-000085,2023-01-04 12:00:00,CUST-0206,PROD-042,Electronics,3,78.09,South,Debit Card,0,234.27,2023-01-04,2023,1,4,12,Wednesday,1,False,234.27,0.0,234.27,False,,Standard,234.27
TXN-000086,2023-01-04 13:00:00,CUST-0081,PROD-025,Clothing,1,143.38,South,Cash,15,121.87,2023-01-04,2023,1,4,13,Wednesday,1,False,143.38,21.506999999999998,121.87299999999999,True,Medium,Premium,121.87299999999999
TXN-000087,2023-01-04 14:00:00,CUST-0932,PROD-044,Home,6,92.23,South,Credit Card,20,442.7,2023-01-04,2023,1,4,14,Wednesday,1,False,553.38,110.676,442.704,True,Medium,Standard,442.704
TXN-000088,2023-01-04 15:00:00,CUST-0562,PROD-012,Electronics,4,71.06,North,Mobile,20,227.39,2023-01-04,2023,1,4,15,Wednesday,1,False,284.24,56.848000000000006,227.392,True,Medium,Standard,227.39200000000002
TXN-000089,2023-01-04 16:00:00,CUST-0872,PROD-026,Electronics,2,400.62,South,Credit Card,15,681.05,2023-01-04,2023,1,4,16,Wednesday,1,False,801.24,120.18599999999999,681.054,True,Medium,Luxury,681.054
TXN-000090,2023-01-04 17:00:00,CUST-0388,PROD-037,Food,7,252.92,East,Debit Card,15,1504.87,2023-01-04,2023,1,4,17,Wednesday,1,False,1770.4399999999998,265.566,1504.8739999999998,True,Medium,Luxury,1504.8739999999998
