transaction_id,timestamp,customer_id,product_id,product_category,quantity,unit_price,region,payment_method,discount_applied,total_amount
TXN-000001,2023-01-01 00:00:00,CUST-0103,PROD-016,Home,-1,138.98,East,Cash,20,1000.66
TXN-000002,2023-01-01 01:00:00,CUST-0436,PROD-001,Home,7,226.53,North,Credit Card,5,1506.42
TXN-000003,2023-01-01 02:00:00,CUST-0861,PROD-012,Clothing,5,324.61,South,Credit Card,0,1623.05
TXN-000004,2023-01-01 03:00:00,CUST-0271,PROD-024,Home,6,255.41,East,Credit Card,0,1532.46
TXN-000005,2023-01-01 04:00:00,CUST-0107,PROD-034,Home,9,452.56,West,Mobile,20,3258.43
TXN-000006,2023-01-01 05:00:00,CUST-0072,PROD-008,Food,1,470.53,South,Mobile,0,470.53
TXN-000007,2023-01-01 06:00:00,CUST-0701,PROD-018,Food,9,90.13,East,Mobile,10,730.05
TXN-000008,2023-01-01 07:00:00,CUST-0021,PROD-048,Clothing,6,427.93,West,Cash,15,2182.44
TXN-000009,2023-01-01 08:00:00,CUST-0615,PROD-005,Home,4,246.04,North,Debit Card,20,787.33
TXN-000010,2023-01-01 09:00:00,CUST-0122,PROD-026,Clothing,5,232.13,North,Cash,20,928.52
TXN-000011,2023-01-01 10:00:00,CUST-0467,PROD-030,Food,1,394.62,South,Cash,0,394.62
TXN-000012,2023-01-01 11:00:00,CUST-0215,PROD-013,Food,7,55.64,South,Cash,15,331.06
TXN-000013,2023-01-01 12:00:00,CUST-0331,PROD-019,Food,8,442.42,South,Debit Card,15,3008.46
TXN-000014,2023-01-01 13:00:00,CUST-0459,PROD-029,Clothing,5,338.72,South,Credit Card,20,1354.88
TXN-000015,2023-01-01 14:00:00,CUST-0088,PROD-003,Home,2,438.88,South,Mobile,20,702.21
TXN-000016,2023-01-01 15:00:00,CUST-0373,PROD-026,Electronics,8,497.29,East,Cash,20,3182.66
TXN-000017,2023-01-01 16:00:00,CUST-0100,PROD-040,Home,7,263.82,West,Mobile,10,1662.07
TXN-000018,2023-01-01 17:00:00,CUST-0872,PROD-012,Clothing,9,55.7,South,Mobile,0,501.3
TXN-000019,2023-01-01 18:00:00,CUST-0664,PROD-002,Food,4,91.6,West,Mobile,10,329.76
TXN-000020,2023-01-01 19:00:00,CUST-0131,PROD-011,Electronics,9,168.57,East,Credit Card,20,1213.7
TXN-000021,2023-01-01 20:00:00,CUST-0662,PROD-044,Clothing,4,60.74,East,Mobile,15,206.52
TXN-000022,2023-01-01 21:00:00,CUST-0309,PROD-028,Food,3,409.52,East,Mobile,0,1228.56
TXN-000023,2023-01-01 22:00:00,CUST-0770,PROD-018,Clothing,3,155.47,South,Credit Card,0,466.41
TXN-000024,2023-01-01 23:00:00,CUST-0344,PROD-013,Electronics,2,488.18,North,Mobile,20,781.09
TXN-000025,2023-01-02 00:00:00,CUST-0492,PROD-037,Food,3,354.27,North,Debit Card,20,850.25
TXN-000026,2023-01-02 01:00:00,CUST-0414,PROD-022,Home,8,94.98,South,Debit Card,20,607.87
TXN-000027,2023-01-02 02:00:00,CUST-0806,PROD-012,Clothing,8,243.26,South,Cash,20,1556.86
TXN-000028,2023-01-02 03:00:00,CUST-0386,PROD-002,Electronics,2,238.77,South,Debit Card,20,382.03
TXN-000029,2023-01-02 04:00:00,CUST-0192,PROD-037,Home,2,251.33,East,Debit Card,20,402.13
TXN-000030,2023-01-02 05:00:00,CUST-0956,PROD-007,Electronics,2,272.49,North,Debit Card,0,544.98
TXN-000031,2023-01-02 06:00:00,CUST-0277,PROD-026,Clothing,7,25.27,North,Credit Card,10,159.2
TXN-000032,2023-01-02 07:00:00,CUST-0161,PROD-026,Electronics,6,346.29,West,Debit Card,15,1766.08
TXN-000033,2023-01-02 08:00:00,CUST-0460,PROD-024,Food,1,248.72,West,Mobile,20,198.98
TXN-000034,2023-01-02 09:00:00,CUST-0314,PROD-012,Electronics,2,397.57,North,Cash,15,675.87
TXN-000035,2023-01-02 10:00:00,CUST-0022,PROD-016,Clothing,1,409.52,North,Mobile,0,409.52
TXN-000036,2023-01-02 11:00:00,CUST-0253,PROD-023,Food,7,122.96,East,Mobile,15,731.61
TXN-000037,2023-01-02 12:00:00,CUST-0748,PROD-040,Electronics,6,33.73,West,Debit Card,0,202.38
TXN-000038,2023-01-02 13:00:00,CUST-0857,PROD-009,Electronics,2,354.58,South,Cash,5,673.7
TXN-000039,2023-01-02 14:00:00,CUST-0561,PROD-032,Food,2,489.1,East,Mobile,10,880.38
TXN-000040,2023-01-02 15:00:00,CUST-0475,PROD-015,Home,2,228.86,West,Cash,5,434.83
TXN-000041,2023-01-02 16:00:00,CUST-0059,PROD-037,Home,8,137.21,South,Debit Card,0,1097.68
TXN-000042,2023-01-02 17:00:00,CUST-0511,PROD-013,Food,7,86.77,South,Mobile,5,577.02
TXN-000043,2023-01-02 18:00:00,CUST-0682,PROD-005,Electronics,1,150.85,North,Credit Card,0,150.85
TXN-000044,2023-01-02 19:00:00,CUST-0476,PROD-011,Home,4,170.68,North,Mobile,5,648.58
TXN-000045,2023-01-02 20:00:00,,PROD-010,Food,4,217.7,South,Mobile,0,870.8
TXN-000046,2023-01-02 21:00:00,CUST-0976,PROD-013,Clothing,7,331.15,South,Cash,10,2086.24
TXN-000047,2023-01-02 22:00:00,CUST-0783,PROD-041,Electronics,2,143.85,North,Cash,10,258.93
TXN-000048,2023-01-02 23:00:00,CUST-0190,PROD-046,Clothing,4,34.98,North,Cash,10,125.93
TXN-000049,2023-01-03 00:00:00,CUST-0958,PROD-015,Electronics,1,192.91,North,Debit Card,0,192.91
TXN-000050,2023-01-03 01:00:00,CUST-0687,PROD-042,Home,4,429.26,North,Cash,15,1459.48
TXN-000051,2023-01-03 02:00:00,CUST-0958,PROD-007,Clothing,1,254.19,West,Debit Card,5,241.48
TXN-000052,2023-01-03 03:00:00,CUST-0563,PROD-040,Clothing,2,482.74,North,Cash,5,917.21
TXN-000053,2023-01-03 04:00:00,CUST-0876,PROD-028,Food,2,256.77,East,Credit Card,5,487.86
TXN-000054,2023-01-03 05:00:00,CUST-0567,PROD-032,Home,3,145.19,East,Cash,5,413.79
TXN-000055,2023-01-03 06:00:00,CUST-0244,PROD-035,Home,8,104.72,East,Debit Card,10,753.98
TXN-000056,2023-01-03 07:00:00,CUST-0832,PROD-015,Electronics,6,350.32,North,Debit Card,15,1786.63
TXN-000057,2023-01-03 08:00:00,CUST-0505,PROD-048,Food,-1,272.83,South,Mobile,5,1555.13
TXN-000058,2023-01-03 09:00:00,CUST-0131,PROD-036,Food,9,305.96,South,Cash,15,2340.59
TXN-000059,2023-01-03 10:00:00,CUST-0485,PROD-021,Electronics,8,380.01,West,Debit Card,0,3040.08
TXN-000060,2023-01-03 11:00:00,CUST-0819,PROD-006,Clothing,2,365.69,North,Mobile,0,731.38
TXN-000061,2023-01-03 12:00:00,CUST-0647,PROD-001,Electronics,6,31.25,East,Credit Card,5,178.12
TXN-000062,2023-01-03 13:00:00,CUST-0021,PROD-004,Electronics,1,403.26,South,Debit Card,20,322.61
TXN-000063,2023-01-03 14:00:00,CUST-0841,PROD-011,Electronics,9,271.02,North,Cash,10,2195.26
TXN-000064,2023-01-03 15:00:00,CUST-0167,PROD-044,Food,4,201.94,East,Credit Card,5,767.37
TXN-000065,2023-01-03 16:00:00,CUST-0274,PROD-026,Electronics,4,273.38,East,Debit Card,10,984.17
TXN-000066,2023-01-03 17:00:00,CUST-0388,PROD-037,Electronics,9,310.1,East,Cash,5,2651.36
TXN-000067,2023-01-03 18:00:00,CUST-0601,PROD-023,Electronics,3,83.26,East,Debit Card,10,224.8
TXN-000068,2023-01-03 19:00:00,CUST-0316,PROD-029,Home,5,214.53,East,Cash,20,858.12
TXN-000069,2023-01-03 20:00:00,CUST-0014,PROD-021,Clothing,1,174.44,West,Mobile,20,139.55
TXN-000070,2023-01-03 21:00:00,CUST-0242,PROD-048,Clothing,6,181.7,East,Debit Card,0,1090.2
TXN-000071,2023-01-03 22:00:00,CUST-0777,PROD-045,Clothing,3,54.75,West,Debit Card,5,156.04
TXN-000072,2023-01-03 23:00:00,CUST-0346,PROD-045,Clothing,1,88.32,East,Credit Card,20,70.66
TXN-000073,2023-01-04 00:00:00,CUST-0565,PROD-049,Food,6,89.3,East,Mobile,20,428.64
TXN-000074,2023-01-04 01:00:00,CUST-0898,PROD-027,Food,2,192.88,East,Credit Card,5,366.47
